Date,Open,High,Low,Close,Volume,Turnover
2019-07-31,8932.8,9028.25,8841.6,9013.85,,
2019-08-01,8973.85,9005.9,8875.9,8945.95,,
2019-08-02,8908.05,9042.25,8851.8,8990.25,,
2019-08-05,8931.05,8983.5,8871.75,8953.75,,
2019-08-06,8926.9,9096.75,8925.7,9077.85,,
2019-08-07,9074.75,9104.35,9011.6,9025.05,,
2019-08-08,9060.75,9197.2,9048.85,9183.05,,
2019-08-09,9200.05,9293.1,9195.95,9255.8,,
2019-08-13,9257.25,9257.25,9099.95,9110.8,,
2019-08-14,9144.55,9192.05,9087.05,9151.8,,
2019-08-16,9127.35,9199.25,9044.7,9191.95,,
2019-08-19,9230.7,9265.35,9163.6,9172.65,,
2019-08-20,9194.55,9213.3,9144.1,9187.05,,
2019-08-21,9183.95,9195.35,9105.35,9118.1,,
2019-08-22,9103.15,9121.8,9051.75,9062.8,,
2019-08-23,9050.8,9152.1,9026.65,9126.25,,
2019-08-26,9240.3,9240.9,9044.4,9221.55,,
2019-08-27,9253.5,9311.25,9204.5,9264.4,,
2019-08-28,9259.0,9298.0,9202.9,9242.55,,
2019-08-29,9202.45,9277.9,9174.1,9247.35,,
2019-08-30,9274.75,9339.7,9199.95,9322.4,,
2019-09-03,9288.1,9316.0,9180.55,9199.85,,
2019-09-04,9209.85,9242.1,9084.25,9155.05,,
2019-09-05,9177.75,9233.4,9175.85,9199.7,,
2019-09-06,9227.25,9266.8,9195.55,9261.2,,
2019-09-09,9245.65,9290.75,9208.05,9284.9,,
2019-09-11,9297.4,9331.0,9288.0,9319.15,,
2019-09-12,9330.55,9357.5,9257.35,9268.05,,
2019-09-13,9287.6,9336.7,9243.0,9326.0,,
2019-09-16,9284.15,9360.1,9263.45,9349.05,,
2019-09-17,9353.45,9354.0,9208.75,9218.2,,
2019-09-18,9252.7,9261.45,9175.6,9227.05,,
2019-09-19,9227.8,9227.8,9105.25,9128.35,,
2019-09-20,9153.9,9683.45,9104.45,9633.65,,
2019-09-23,9761.35,9991.55,9759.9,9885.3,,
2019-09-24,9913.3,9936.5,9833.75,9891.85,,
2019-09-25,9870.8,9871.3,9711.6,9730.65,,
2019-09-26,9734.8,9832.9,9729.5,9819.7,,
2019-09-27,9809.95,9834.35,9774.5,9789.1,,
2019-09-30,9782.25,9785.75,9660.4,9739.35,,
2019-10-01,9757.9,9789.65,9587.45,9663.3,,
2019-10-03,9660.95,9682.05,9589.85,9620.7,,
2019-10-04,9654.55,9667.65,9484.75,9496.55,,
2019-10-07,9504.2,9523.5,9430.7,9492.45,,
2019-10-09,9487.9,9552.95,9434.85,9546.55,,
2019-10-10,9531.4,9561.55,9481.3,9512.5,,
2019-10-11,9509.65,9616.6,9507.35,9606.45,,
2019-10-14,9605.8,9669.25,9588.75,9645.75,,
2019-10-15,9664.0,9771.4,9644.9,9735.55,,
2019-10-16,9753.55,9761.1,9672.0,9701.55,,
2019-10-17,9702.5,9839.0,9682.2,9831.1,,
2019-10-18,9825.8,9945.0,9815.35,9928.15,,
2019-10-22,9894.2,9948.95,9808.75,9824.35,,
2019-10-23,9816.9,9926.1,9805.95,9885.45,,
2019-10-24,9948.65,9963.5,9894.8,9924.75,,
2019-10-25,9966.7,9967.8,9876.6,9921.45,,
2019-10-27,9973.95,9988.6,9904.0,9928.25,,
